feature,mean_importance,std_importance,mean_rank,top5_freq,top10_freq,top20_freq
Destination Port,0.077536,0.001649,1.00,3,3,3
Flow Duration,0.014534,0.000597,32.00,0,0,0
Total Fwd Packets,0.015552,0.001353,29.67,0,0,0
Total Backward Packets,0.010426,0.000749,41.00,0,0,0
Total Length of Fwd Packets,0.023274,0.002308,10.00,1,1,3
Total Length of Bwd Packets,0.016007,0.001032,27.67,0,0,0
Fwd Packet Length Max,0.023624,0.000081,8.33,0,3,3
Fwd Packet Length Min,0.006812,0.000997,52.67,0,0,0
Fwd Packet Length Mean,0.021428,0.001208,13.33,0,1,3
Fwd Packet Length Std,0.015561,0.000991,29.67,0,0,0
Bwd Packet Length Max,0.015972,0.001082,28.00,0,0,0
Bwd Packet Length Min,0.023498,0.000407,8.67,0,3,3
Bwd Packet Length Mean,0.017908,0.001571,22.67,0,0,1
Bwd Packet Length Std,0.012633,0.000577,36.33,0,0,0
Flow Bytes/s,0.010162,0.000510,42.33,0,0,0
Flow Packets/s,0.007689,0.000649,51.67,0,0,0
Flow IAT Mean,0.027553,0.001509,4.33,3,3,3
Flow IAT Std,0.021054,0.002142,16.00,0,0,2
Flow IAT Max,0.020272,0.000183,16.00,0,0,3
Flow IAT Min,0.007210,0.001172,53.00,0,0,0
Fwd IAT Total,0.014132,0.001468,32.67,0,0,0
Fwd IAT Mean,0.021341,0.001733,14.67,0,0,3
Fwd IAT Std,0.017736,0.001684,23.33,0,0,1
Fwd IAT Max,0.016985,0.001397,25.33,0,0,1
Fwd IAT Min,0.009785,0.000488,43.67,0,0,0
Bwd IAT Total,0.008758,0.000262,47.00,0,0,0
Bwd IAT Mean,0.008520,0.001145,47.67,0,0,0
Bwd IAT Std,0.009424,0.001234,44.33,0,0,0
Bwd IAT Max,0.006756,0.000581,55.00,0,0,0
Bwd IAT Min,0.007590,0.000600,52.67,0,0,0
Fwd PSH Flags,0.002094,0.000451,63.00,0,0,0
Bwd PSH Flags,0.000000,0.000000,74.00,0,0,0
Fwd URG Flags,0.000000,0.000000,72.67,0,0,0
Bwd URG Flags,0.000000,0.000000,72.33,0,0,0
Fwd Header Length,0.020371,0.002804,16.67,0,1,2
Bwd Header Length,0.021059,0.001235,14.67,0,0,3
Fwd Packets/s,0.005372,0.000782,58.33,0,0,0
Bwd Packets/s,0.014514,0.002036,31.33,0,0,0
Min Packet Length,0.009173,0.000777,45.00,0,0,0
Max Packet Length,0.021190,0.000525,14.00,0,1,3
Packet Length Mean,0.023178,0.001670,9.33,0,2,3
Packet Length Std,0.019358,0.001832,19.67,0,0,2
Packet Length Variance,0.017174,0.001485,24.33,0,0,0
FIN Flag Count,0.000974,0.000202,64.67,0,0,0
SYN Flag Count,0.003509,0.000201,61.33,0,0,0
RST Flag Count,0.000000,0.000000,68.67,0,0,0
PSH Flag Count,0.012021,0.001893,38.00,0,0,0
ACK Flag Count,0.007735,0.000202,51.00,0,0,0
URG Flag Count,0.005404,0.000553,57.33,0,0,0
CWE Flag Count,0.000000,0.000000,71.00,0,0,0
ECE Flag Count,0.000000,0.000000,71.33,0,0,0
Down/Up Ratio,0.004268,0.000922,60.33,0,0,0
Average Packet Size,0.021829,0.001954,12.33,0,1,3
Avg Fwd Segment Size,0.019219,0.002623,20.33,0,0,1
Avg Bwd Segment Size,0.016665,0.003200,26.00,0,0,1
Fwd Header Length.1,0.018762,0.001148,20.00,0,0,1
Fwd Avg Bytes/Bulk,0.000000,0.000000,71.67,0,0,0
Fwd Avg Packets/Bulk,0.000000,0.000000,74.67,0,0,0
Fwd Avg Bulk Rate,0.000000,0.000000,74.67,0,0,0
Bwd Avg Bytes/Bulk,0.000000,0.000000,72.33,0,0,0
Bwd Avg Packets/Bulk,0.000000,0.000000,70.33,0,0,0
Bwd Avg Bulk Rate,0.000000,0.000000,76.33,0,0,0
Subflow Fwd Packets,0.013394,0.000796,34.67,0,0,0
Subflow Fwd Bytes,0.023431,0.002301,11.00,0,2,3
Subflow Bwd Packets,0.010513,0.000309,41.33,0,0,0
Subflow Bwd Bytes,0.015755,0.001996,28.33,0,0,0
Init_Win_bytes_forward,0.030181,0.001910,3.00,3,3,3
Init_Win_bytes_backward,0.044490,0.002049,2.00,3,3,3
act_data_pkt_fwd,0.011677,0.001208,38.67,0,0,0
min_seg_size_forward,0.026513,0.000448,5.00,2,3,3
Active Mean,0.008847,0.001047,46.67,0,0,0
Active Std,0.000782,0.000155,65.33,0,0,0
Active Max,0.003917,0.000702,60.67,0,0,0
Active Min,0.014336,0.000671,33.33,0,0,0
Idle Mean,0.008559,0.001652,49.00,0,0,0
Idle Std,0.000973,0.000366,65.00,0,0,0
Idle Max,0.005226,0.000567,57.67,0,0,0
Idle Min,0.007801,0.000483,51.00,0,0,0
